날짜,제품명,마케팅채널,마케팅비용,노출수,클릭수,전환수
2023-10-11,울트라 센서,Facebook,177620,28894,5031,2608
2023-11-30,울트라 이어폰 Lite2,Instagram,451669,42063,7810,3639
2023-12-16,하이퍼 공기청정기 Max,Naver Ads,464451,97090,1198,198
2023-12-08,울트라 허브 Z,Facebook,241515,95857,8247,6146
2023-11-12,프로 플랫폼 SE,Facebook,57877,39715,6187,5071
2023-02-02,네오 카메라 Plus,Instagram,492372,41607,4833,3222
2023-11-15,울트라 카메라 X,Naver Ads,355143,51435,9017,4699
2023-05-06,네오 시스템 X7,YouTube,232800,86273,6275,5708
2023-01-01,울트라 로봇청소기 Z6,Instagram,456821,40252,6500,1019
2023-09-11,AI 스피커 SE,Google Ads,67015,33406,7635,4018
2023-10-14,퓨처 모니터 Lite,Blog,441315,57232,5325,428
2023-04-13,무선 충전기 Max,Instagram,262073,30306,8841,5588
2023-02-22,에코 충전기 SE5,Blog,54403,83299,774,261
2023-01-23,하이퍼 공기청정기 Max,Instagram,233647,47521,2267,1372
2023-04-15,에코 모니터 Pro5,Naver Ads,365894,68025,7977,2243
2023-03-12,프로 키보드 Plus,Blog,428826,32391,3062,1277
2023-03-10,퓨처 드론 Z,Blog,220994,90928,218,65
2023-12-05,하이퍼 이어폰 Plus9,Google Ads,345765,17297,5714,3833
2023-02-16,스마트 노트북 Pro,Blog,401696,79242,2581,1369
2023-07-06,네오 메모리 Max4,Instagram,479549,94882,8976,7652
2023-09-18,퀀텀 시스템 Plus1,Blog,168199,8191,4754,1395
2023-06-09,AI 태블릿 Lite,Instagram,476461,91546,4070,710
2023-10-02,울트라 센서 Air3,Blog,185525,53750,1240,93
2023-05-01,스마트 프로젝터 Plus,Google Ads,15976,39740,2060,2057
2023-02-05,하이퍼 공기청정기 SE3,YouTube,189797,12907,2022,2001
2023-07-01,울트라 센서 Air3,Blog,119884,24257,6148,829
2023-07-21,프로 메모리 X,Instagram,147357,82026,9224,7882
2023-11-20,기가 충전기 Ultra,Instagram,426635,65586,629,51
2023-09-26,네오 마우스 Z3,Facebook,460189,65965,2773,1532
2023-10-17,AI 태블릿 Lite,Naver Ads,205973,39139,9838,8642
2023-01-18,무선 드론 Lite,Naver Ads,413930,11318,5311,1420
2023-08-04,기가 노트북 Go,Instagram,299088,56882,5841,792
2023-01-09,프로 솔루션 Plus1,Blog,147120,68929,462,334
2023-12-27,네오 마우스 Lite1,Blog,373753,91520,644,13
2023-05-21,네오 센서 Go,Blog,251763,31006,9483,6222
2023-06-01,네오 모니터,Facebook,414731,40333,486,169
2023-08-13,무선 플랫폼 Pro6,Blog,414173,17371,5524,5016
2023-05-11,무선 충전기 Go,Blog,174343,97428,4159,1675
2023-10-23,퀀텀 가습기 Pro6,Instagram,199009,38778,2028,1123
2023-01-30,고성능 플랫폼 Go4,Naver Ads,303626,36522,341,65
2023-10-06,고성능 공기청정기 Air10,YouTube,212169,77304,4694,495
2023-04-02,하이퍼 프로세서 SE,Naver Ads,272817,68084,8949,8723
2023-10-12,퓨처 충전기 Z9,Instagram,201587,48757,125,78
2023-12-03,하이퍼 플랫폼,Blog,313211,26250,8728,6159
2023-05-01,퓨처 솔루션,Instagram,373407,13804,922,327
2023-02-05,고성능 솔루션 Pro,Facebook,143175,76299,7775,1765
2023-11-30,퓨처 워치,Blog,300577,42160,7505,4492
2023-05-05,네오 태블릿 Plus10,Blog,81211,29456,8342,2583
2023-06-15,에코 글래스 Pro2,Naver Ads,149269,93026,8039,254
2023-05-05,하이퍼 시스템 SE9,YouTube,155791,39451,9691,1986
2023-12-07,프로 센서 Plus3,Naver Ads,33729,51580,5279,582
2023-12-17,네오 노트북 Lite7,YouTube,400014,9750,9377,1461
2023-07-10,에코 로봇청소기 X,Facebook,17940,42282,547,26
2023-10-14,프로 플랫폼 Air8,Instagram,247774,23735,7825,6
2023-02-23,울트라 충전기 X,Instagram,71066,59759,9035,373
2023-02-13,퀀텀 프로젝터 Max,Naver Ads,414437,10839,8713,1025
2023-05-10,퓨처 키보드 X,Facebook,125373,53322,6617,4194
2023-09-14,프로 플랫폼 Plus,Naver Ads,489233,24047,6531,2445
2023-12-31,고성능 마우스 Air4,Blog,362256,47842,4202,2153
2023-06-19,고성능 드론 Plus2,Instagram,439285,67474,1508,436
2023-08-26,프로 플랫폼 SE,YouTube,125276,59310,148,34
2023-05-13,무선 마우스 Go,Facebook,268070,15947,7697,7015
2023-02-10,스마트 플랫폼 Lite,YouTube,236642,96456,7590,430
2023-03-07,하이퍼 허브 Air,Google Ads,307224,90459,6119,3592
2023-07-07,퓨처 워치,Instagram,13317,4292,384,330
2023-02-24,기가 스피커 Max,Google Ads,237446,20670,1702,271
2023-07-12,AI 메모리,Google Ads,294810,98639,8446,7403
2023-03-24,AI 스피커 Z,Facebook,383215,64104,9349,8217
2023-07-14,기가 메모리 SE,Instagram,419253,89583,9008,4307
2023-07-19,네오 프로젝터 Air,YouTube,28053,81309,9304,5492
2023-08-07,퀀텀 공기청정기 Pro9,Google Ads,355943,3606,2901,2546
2023-01-22,퀀텀 로봇청소기 Go,Blog,460554,77048,8645,6178
2023-05-04,울트라 스피커 Z10,Blog,366437,91679,6600,4487
2023-12-15,무선 플랫폼 Pro6,Google Ads,101992,93499,3692,1988
2023-10-19,네오 허브 Go9,YouTube,40234,58207,6896,1503
2023-11-15,퓨처 워치,YouTube,212420,62323,8538,935
2023-10-29,네오 솔루션 Ultra,YouTube,186174,72911,9245,9222
2023-04-14,퓨처 공기청정기,Naver Ads,289003,98474,4074,3580
2023-12-21,네오 카메라 Plus,Facebook,204661,3224,3224,1901
2023-09-19,스마트 로봇청소기 Z,Blog,262169,40979,2601,530
2023-03-21,기가 충전기 Pro,YouTube,161546,87250,9607,3656
2023-04-22,에코 모니터 Pro4,YouTube,474590,71159,1811,1558
2023-09-11,고성능 마우스 Z,YouTube,453992,44564,681,580
2023-06-28,스마트 태블릿 Z6,Instagram,411086,67477,8166,3993
2023-04-22,프로 프로젝터,Blog,191604,40104,9546,4992
2023-11-29,네오 프로젝터 Air,Facebook,260074,77924,3797,3211
2023-06-02,울트라 드론 Go2,Blog,403829,50178,7380,3586
2023-05-12,퓨처 모니터 Air,Blog,324065,87247,2836,2450
2023-04-05,울트라 충전기 Max9,Facebook,373278,83065,6030,1358
2023-06-11,무선 메모리 Plus8,Facebook,487543,45542,496,166
2023-12-06,울트라 허브 Z,Google Ads,405431,66508,373,204
2023-09-07,하이퍼 카메라 Go10,YouTube,103915,55702,399,265
2023-10-08,네오 마우스 Z3,Facebook,178404,95165,719,119
2023-04-19,프로 센서 Ultra,Instagram,289004,75588,232,151
2023-06-23,에코 모니터 Pro5,Facebook,156762,59594,2278,826
2023-07-30,하이퍼 허브 Lite7,Naver Ads,308281,59963,7298,3896
2023-07-21,퀀텀 이어폰 Z2,Google Ads,102752,79167,1906,519
2023-06-04,하이퍼 마우스 X6,Blog,71108,30346,8100,5254
2023-09-30,에코 모니터 Pro10,Naver Ads,487945,27126,2427,1315
2023-10-23,스마트 프로젝터 X,Instagram,95941,22515,2553,296
2023-02-19,퀀텀 센서 Pro,Facebook,374757,74224,2927,2401
2023-08-29,에코 플랫폼 Pro,Naver Ads,127994,79458,7178,3773
2023-04-04,퀀텀 드론 Ultra1,Naver Ads,311525,8757,2456,566
2023-01-12,스마트 플랫폼 X,Google Ads,123896,85244,1070,294
2023-09-30,하이퍼 워치 Ultra,YouTube,204512,26804,991,155
2023-01-25,고성능 플랫폼 Ultra8,Instagram,456768,8989,2861,745
2023-03-26,기가 플랫폼 Air,Blog,160845,66822,3364,326
2023-09-01,기가 로봇청소기 X1,YouTube,439723,61469,9209,6029
2023-08-31,프로 워치 Max,Google Ads,415271,98368,9201,8300
2023-04-24,무선 스피커 Pro,Naver Ads,47381,3820,3820,2612
2023-05-27,고성능 모니터 Z,Blog,407971,31980,644,447
2023-02-20,AI 노트북 Ultra,Google Ads,49779,97227,1951,126
2023-05-15,기가 노트북 Air,YouTube,96045,35492,3602,1135
2023-10-10,프로 플랫폼 Air8,Facebook,440509,37470,2536,792
2023-11-16,프로 플랫폼 SE,Facebook,335393,84705,9489,595
2023-07-03,하이퍼 로봇청소기 Z10,YouTube,231021,26964,4036,2393
2023-10-19,AI 노트북,Blog,455297,13091,1951,1556
2023-07-21,프로 키보드 Plus,Google Ads,65716,98566,3256,1237
2023-01-04,울트라 드론 Go4,Instagram,240622,41339,7060,5074
2023-08-25,무선 플랫폼 Air,Naver Ads,167089,89632,7495,1710
2023-12-15,울트라 솔루션 Plus8,Naver Ads,125534,81266,211,68
2023-08-20,AI 플랫폼 Z5,Instagram,481086,43525,5642,3697
2023-01-20,스마트 프로젝터 Pro4,Blog,35173,59343,8901,3274
2023-02-13,퓨처 가습기 Ultra,Facebook,95585,72484,5617,4177
2023-01-06,네오 마우스 Z3,YouTube,428576,31074,3886,3033
2023-07-01,무선 플랫폼 Ultra,Google Ads,140233,79293,3411,799
2023-05-02,에코 메모리 Pro1,Naver Ads,499256,77139,6490,3086
2023-02-19,무선 가습기 Z,Blog,443031,16940,602,188
2023-09-23,AI 플랫폼 Z5,Google Ads,327381,15800,9151,7962
2023-09-13,기가 플랫폼 Air,Naver Ads,58776,27338,1252,213
2023-03-09,네오 키보드 Pro9,Blog,119477,1759,1759,83
2023-11-22,고성능 모니터 Z,Instagram,420201,48252,417,299
2023-12-15,네오 노트북 Lite7,Instagram,188110,68449,3061,2225
2023-08-15,프로 모니터,YouTube,268174,82925,3343,1878
2023-01-19,무선 가습기 Z,Blog,42770,83547,9940,3097
2023-02-27,고성능 노트북 Z4,Naver Ads,277856,12878,2612,580
2023-03-18,퓨처 공기청정기,Google Ads,149193,25591,3728,603
2023-11-10,고성능 공기청정기 Lite2,YouTube,267780,4212,4212,3802
2023-05-05,고성능 워치 Max,Google Ads,499601,89686,4436,3788
2023-02-27,프로 글래스,YouTube,168233,22918,3211,1413
2023-11-23,AI 솔루션 X8,Blog,236934,15076,1792,1322
2023-04-04,고성능 드론 Lite6,YouTube,76576,89631,1206,769
2023-02-24,고성능 드론 Ultra4,Naver Ads,310804,80843,6649,2753
2023-05-18,퓨처 카메라 SE,YouTube,23340,70469,3514,1411
2023-07-12,울트라 솔루션 Ultra10,Naver Ads,381332,76459,4826,337
2023-07-29,AI 스피커 Lite,Blog,97021,55206,3098,1860
2023-06-02,퓨처 노트북 Z4,Google Ads,209429,48487,8256,970
2023-08-10,울트라 솔루션 Max5,Facebook,326522,15120,711,394
2023-12-13,네오 워치 Pro,YouTube,272153,68726,4669,3213
2023-02-17,에코 이어폰 Z,Naver Ads,496261,77373,4265,1827
2023-10-07,고성능 마우스 Z,Google Ads,403386,85649,6974,3212
2023-02-06,AI 스피커 Lite4,Instagram,330490,41215,1165,624
2023-01-23,에코 모니터 Pro10,Facebook,412437,43471,5026,189
2023-09-11,무선 허브 Go,Naver Ads,398883,94234,8858,7331
2023-10-27,무선 워치 Z6,YouTube,171985,63803,9651,6990
2023-01-12,스마트 글래스 SE10,Google Ads,306976,41794,838,743
2023-12-24,에코 글래스 Lite1,YouTube,146494,73280,5369,4425
2023-03-14,퓨처 키보드 X,Instagram,83096,80090,9256,1033
2023-07-20,에코 허브 Lite7,Naver Ads,177107,8987,2286,1035
2023-03-03,고성능 스피커 Pro,Blog,484941,73754,9076,2466
2023-08-03,네오 시스템,Blog,14106,85204,7252,2284
2023-09-27,고성능 마우스 Plus10,Google Ads,172121,9863,236,92
2023-03-03,퓨처 글래스,Naver Ads,437048,26420,1775,1473
2023-05-25,에코 스피커 Lite,Blog,129603,3665,1555,1255
2023-01-08,에코 허브 Lite7,Facebook,186867,23334,8802,5092
2023-02-10,네오 허브 Z9,Facebook,321875,43661,6738,1524
2023-11-24,하이퍼 센서 Ultra9,Blog,369616,5050,3120,2587
2023-09-18,스마트 프로젝터 Plus,YouTube,399541,66860,2856,1099
2023-09-11,고성능 드론 Plus2,Google Ads,14492,78244,4377,3622
2023-04-26,네오 이어폰,Facebook,343256,45719,2635,943
2023-09-24,고성능 카메라 SE,Facebook,451748,3798,854,95
2023-03-24,스마트 마우스 X,YouTube,288514,94540,4895,117
2023-01-04,스마트 충전기 Air,Facebook,75651,94762,4554,1058
2023-04-16,하이퍼 키보드 Plus3,Instagram,140005,28422,7976,6723
2023-06-20,퀀텀 카메라 Pro,Facebook,115057,42660,3524,15
2023-03-16,기가 스피커 Max,Google Ads,377914,2041,2041,1292
2023-08-31,울트라 키보드,YouTube,294310,72269,6621,2620
2023-07-19,스마트 드론 Max2,Naver Ads,218019,86643,6894,1734
2023-11-21,무선 충전기 SE,YouTube,156894,92606,7018,1212
2023-01-12,네오 솔루션 Ultra,Instagram,184170,32311,8363,1207
2023-08-15,하이퍼 마우스 Ultra6,YouTube,229530,86150,4533,3175
2023-06-14,스마트 스피커 Pro3,Instagram,143686,66014,8242,6254
2023-12-06,퓨처 노트북 Z4,Naver Ads,432862,35587,9877,554
2023-08-02,AI 스피커 SE,Naver Ads,388221,2673,2673,393
2023-07-22,AI 스피커 SE,Instagram,376213,36986,8584,8184
2023-08-24,울트라 이어폰 Lite2,Instagram,316031,68129,3330,185
2023-12-28,스마트 솔루션 Lite,Naver Ads,492803,77116,7914,3907
2023-08-26,퀀텀 로봇청소기 Pro,Naver Ads,294476,24423,6917,3303
2023-01-31,AI 프로젝터 Pro,Blog,243092,50977,9866,7955
2023-12-21,프로 플랫폼 SE,Blog,430685,61131,9068,7347
2023-11-28,네오 허브 X,YouTube,206091,37918,3867,147
2023-03-10,에코 솔루션 Plus2,YouTube,263707,87644,9120,6666
2023-10-31,에코 허브 Plus,YouTube,211884,55046,2655,1706
2023-11-01,고성능 가습기 Go,Facebook,119400,55805,1774,477
2023-04-05,퀀텀 센서,YouTube,75267,38252,8536,5515
2023-07-26,AI 메모리,Naver Ads,476279,61927,2515,1398
2023-05-12,에코 글래스 SE9,Naver Ads,30541,22153,7441,3099
2023-11-29,퓨처 공기청정기 Max,Google Ads,83572,45450,8427,4145
2023-10-04,기가 노트북 Max9,YouTube,355565,23483,5480,4226
2023-02-20,에코 허브 Plus,Facebook,152702,95223,2001,345
2023-04-09,프로 메모리 X,Google Ads,486423,39155,8803,8620
2023-03-23,프로 카메라,Instagram,416329,9706,6401,5266
2023-10-15,네오 허브 Go9,YouTube,115765,57040,7962,485
2023-02-05,네오 워치 Pro,Facebook,85223,84430,1961,1948
2023-02-08,네오 키보드 Plus,Google Ads,328584,19902,9404,6518
2023-07-31,울트라 플랫폼 Max7,YouTube,52508,73701,8148,7221
2023-07-25,하이퍼 마우스 Ultra6,Blog,58182,94406,4612,3267
2023-10-18,무선 메모리 Lite7,Google Ads,299256,24150,1259,604
2023-03-15,프로 솔루션 Lite10,YouTube,402756,57308,2460,240
2023-09-13,무선 글래스 Lite,Facebook,340459,50838,5244,2514
2023-11-17,울트라 솔루션 Ultra10,Blog,224892,2175,2175,1661
2023-01-16,기가 시스템 Go4,YouTube,291909,9943,3448,3293
2023-02-08,네오 드론 Air,Naver Ads,252551,95423,6546,996
2023-12-16,고성능 가습기 X7,Instagram,396695,46885,7418,1039
2023-09-09,퀀텀 드론 Z,Instagram,355415,33884,3161,1746
2023-07-02,울트라 솔루션 Lite,Facebook,75888,63779,1158,465
2023-05-10,네오 키보드 Pro9,YouTube,438781,24413,9444,1032
2023-12-25,스마트 노트북 Pro,Blog,273478,94034,7792,2156
2023-08-05,AI 시스템 Pro3,YouTube,346038,76264,2688,413
2023-07-08,프로 키보드 Air,Instagram,478458,78087,3480,174
2023-12-14,무선 메모리 Plus8,Google Ads,137628,92409,6158,4692
2023-08-19,울트라 메모리 Air5,Naver Ads,43818,13245,9276,5384
2023-02-25,고성능 공기청정기 Lite2,Google Ads,365523,77871,7459,2819
2023-08-18,AI 글래스 Z,YouTube,189564,46210,2860,1535
2023-09-17,AI 시스템 Max1,Blog,203810,28042,6574,5712
2023-04-30,에코 프로세서 Air10,YouTube,206245,87111,6650,2076
2023-12-12,프로 모니터 Max,Naver Ads,339170,69904,4571,2869
2023-05-07,무선 솔루션 SE7,Google Ads,463316,87089,975,765
2023-12-19,고성능 카메라 SE,YouTube,296384,50786,4037,2548
2023-01-21,네오 프로세서 Pro,Naver Ads,79195,7761,1161,41
2023-07-06,기가 드론 X,Naver Ads,131613,77756,8190,404
2023-09-12,무선 키보드 Ultra1,Naver Ads,327944,16245,9315,3759
2023-11-23,스마트 허브 Plus,Google Ads,484221,21719,3581,3106
2023-02-04,퀀텀 드론 Plus,Google Ads,365790,59885,5805,3393
2023-09-04,무선 로봇청소기 Plus,Instagram,366745,70076,6113,5192
2023-12-11,에코 스피커 Z4,Blog,388436,71122,6376,3135
2023-06-14,무선 솔루션 SE7,Instagram,169129,4876,4876,2332
2023-12-23,네오 모니터 Lite3,Naver Ads,27662,81802,791,592
2023-04-09,퓨처 충전기 Z9,YouTube,43258,5912,931,465
2023-10-02,네오 마우스 Plus,Instagram,473936,40424,8666,723
2023-01-25,퀀텀 드론 Air,Blog,489312,13788,7489,1284
2023-07-09,무선 가습기 Z,YouTube,200633,41111,2984,568
2023-08-14,에코 이어폰 Z,YouTube,337650,55175,4301,552
2023-04-13,네오 센서 Go,Naver Ads,323367,50361,3075,1743
2023-02-28,프로 가습기 Z4,Instagram,193498,85429,5716,1446
2023-10-27,하이퍼 로봇청소기 Lite10,Google Ads,257199,77105,5035,3746
2023-03-31,무선 가습기 Z,YouTube,62324,17176,1227,1077
2023-04-24,AI 로봇청소기 Max10,Naver Ads,329013,58154,2319,298
2023-04-28,기가 플랫폼 Plus,Instagram,452334,40033,2195,1100
2023-05-20,에코 충전기 SE5,Google Ads,201503,11755,9347,2461
2023-03-20,에코 글래스 Max2,Google Ads,191728,52390,5738,3087
2023-03-22,퀀텀 태블릿 Lite,Facebook,433718,19355,369,291
2023-09-24,무선 허브 Ultra,Blog,392926,68841,1256,580
2023-04-14,하이퍼 스피커 Go,Naver Ads,193165,93744,7770,5452
2023-06-20,스마트 태블릿 Z6,Blog,164682,25581,3040,1141
2023-09-12,무선 허브 Z,Naver Ads,489343,83161,7702,1935
2023-02-21,퓨처 키보드 X,YouTube,461347,82637,4702,3386
2023-10-09,스마트 태블릿,Instagram,437230,8818,4215,2072
2023-02-17,하이퍼 프로세서 SE,Naver Ads,146166,67167,6692,1863
2023-08-16,무선 드론,Blog,373165,53062,1142,482
2023-07-22,퀀텀 키보드 Pro5,Blog,308111,30538,4714,4535
2023-02-06,네오 솔루션 Ultra,YouTube,93049,50048,9467,8099
2023-09-07,네오 워치 Pro,YouTube,330965,50712,2721,1034
2023-01-18,하이퍼 프로젝터 SE9,Google Ads,161812,81165,7663,666
2023-03-18,에코 마우스 Ultra,Instagram,175102,1053,1053,397
2023-03-24,네오 마우스 Plus,Blog,57956,96609,874,411
2023-07-28,AI 태블릿 SE,Instagram,480823,35755,8372,8014
2023-02-16,퓨처 노트북 Z4,Instagram,176037,53594,2163,1436
2023-05-28,스마트 프로젝터 Pro4,Blog,10557,12130,2393,2063
2023-06-19,울트라 키보드 Go5,Naver Ads,290761,97802,2457,2241
2023-01-23,기가 충전기 Lite9,Google Ads,402821,62254,4427,839
2023-12-19,퓨처 메모리 Z2,Instagram,250919,3936,600,357
2023-09-01,고성능 메모리 Z2,Facebook,104461,41460,9236,7986
2023-03-13,네오 플랫폼 Ultra9,YouTube,331743,2516,2516,2146
2023-07-11,스마트 태블릿,Naver Ads,423623,66781,5748,3024
2023-02-11,퓨처 가습기 Go10,Facebook,424842,39738,4732,3996
2023-02-10,무선 글래스 Lite,Google Ads,167294,30508,1749,508
2023-01-19,스마트 솔루션 Air9,YouTube,318420,7921,7921,545
2023-01-25,고성능 키보드 Go,Instagram,396326,5073,5073,4160
2023-04-13,프로 스피커 Air,Google Ads,309056,26672,3898,1044
2023-07-19,울트라 충전기 Pro10,Instagram,443004,31083,8713,3749
2023-08-14,기가 충전기 Lite9,Instagram,135193,73884,2000,1999
2023-11-04,울트라 가습기 Z1,Instagram,128659,75415,9005,3086
2023-08-10,에코 센서 X7,Instagram,396397,14518,3706,1764
2023-02-19,네오 모니터 Lite3,Instagram,172676,80741,8479,232
2023-02-28,스마트 스피커 Pro3,Naver Ads,436229,76617,9434,6672
2023-02-15,네오 충전기 Go3,Blog,379797,4557,4158,2012
2023-06-06,하이퍼 프로젝터 Pro10,Instagram,411046,1913,1913,597
2023-02-10,하이퍼 마우스 Plus,Facebook,189299,34388,4363,3602
2023-11-27,고성능 공기청정기 Plus,Naver Ads,363767,49366,3308,884
2023-07-31,하이퍼 로봇청소기 Lite10,YouTube,176416,5726,5726,1158
2023-06-25,퓨처 마우스 Air9,Google Ads,214178,87871,2561,1154
2023-09-11,프로 드론 Lite,Instagram,315953,75123,8619,5520
2023-06-15,프로 플랫폼 Z4,Blog,213719,96845,8090,198
2023-07-21,AI 프로젝터 Pro,Blog,132842,95431,750,730
2023-12-09,네오 솔루션 Ultra,Google Ads,447556,73464,917,807
2023-03-30,울트라 센서 Air3,Facebook,218374,61930,4458,2299
2023-03-15,스마트 솔루션 X,Google Ads,304201,11059,7947,4156
2023-02-15,고성능 이어폰 Go3,Google Ads,453539,44527,3271,1527
2023-02-26,울트라 충전기 Pro10,Facebook,430182,64052,9247,9247
2023-09-29,울트라 충전기 X,Naver Ads,60285,92563,1243,1087
2023-04-23,프로 태블릿 X,YouTube,77852,43938,8846,3532
2023-07-21,기가 스피커 Max,Facebook,345521,34039,7960,37
2023-10-01,프로 글래스,Instagram,91883,24637,1604,802
2023-09-03,고성능 가습기 X7,Facebook,305020,63319,6067,5113
2023-10-15,퓨처 센서 Ultra4,Instagram,338037,24383,6067,5072
2023-03-08,퀀텀 키보드 Max,Blog,29869,81310,7912,2050
2023-02-17,고성능 워치 Max,Facebook,116874,44991,3941,3142
2023-05-17,하이퍼 모니터 X,Instagram,166972,60705,3394,35
2023-04-13,프로 프로젝터,Instagram,485093,16154,8947,528
2023-06-23,울트라 드론 Go2,Facebook,402774,13915,2844,2783
2023-01-18,무선 스피커 Lite,Google Ads,367531,63188,4503,2549
2023-04-24,하이퍼 태블릿 SE,Instagram,89690,22586,4172,2706
2023-05-13,AI 스피커 Lite4,YouTube,30337,62830,3435,1822
2023-04-26,무선 허브 Z,YouTube,226596,73161,7910,2806
2023-04-20,하이퍼 허브 Plus,Blog,301092,5597,5597,2976
2023-10-25,무선 충전기 Go,Google Ads,311839,8541,6485,5412
2023-03-02,기가 스피커 Ultra,YouTube,325949,63461,5561,3034
2023-01-16,고성능 스피커 Pro,Google Ads,472546,73555,4634,3179
2023-07-31,고성능 마우스 Z,Google Ads,492364,71212,7278,6118
2023-07-23,하이퍼 허브 Lite7,YouTube,80036,44180,7961,6808
2023-09-07,에코 글래스 SE9,Instagram,188075,89117,6694,627
2023-06-11,고성능 센서 Plus,YouTube,226565,27157,9150,1591
2023-12-15,AI 시스템 Max1,Naver Ads,35526,97314,1057,326
2023-02-07,AI 솔루션 SE,Blog,181220,52689,8459,2736
2023-12-24,AI 카메라,Blog,40121,5643,5643,1612
2023-06-28,하이퍼 센서 Ultra9,YouTube,425950,53392,1081,663
2023-07-09,퀀텀 카메라 SE4,YouTube,419136,54032,9464,9147
2023-07-07,하이퍼 이어폰 Go,YouTube,56108,95411,590,26
2023-12-11,퓨처 공기청정기 Max,Instagram,377633,8199,6024,4
2023-10-13,하이퍼 프로젝터 SE9,YouTube,300500,75622,7901,3576
2023-12-26,스마트 프로젝터 Z6,Blog,224379,45805,3947,262
2023-09-30,프로 마우스 Lite8,Google Ads,294213,6297,6297,167
2023-02-28,AI 태블릿 Z,Google Ads,289513,83867,2973,1593
2023-06-24,에코 프로젝터 SE,Facebook,338670,40081,1348,823
2023-04-07,고성능 모니터 Z,Blog,414792,49295,6213,2473
2023-03-13,고성능 카메라 SE,YouTube,153916,95203,831,181
2023-12-12,무선 솔루션 Pro,YouTube,170452,69901,272,258
2023-08-18,무선 드론 Lite,Instagram,25704,75462,1968,1230
2023-09-24,기가 충전기 Lite9,Naver Ads,436036,56097,9416,730
2023-02-14,퀀텀 플랫폼 Lite,Facebook,213736,33913,1482,1025
2023-10-26,하이퍼 글래스 Lite10,Instagram,37742,17321,3213,562
2023-01-20,퀀텀 스피커 Max5,Blog,384842,7864,1960,1535
2023-03-23,울트라 솔루션,Google Ads,386684,43597,6070,2901
2023-06-15,프로 센서 Plus3,Naver Ads,453022,56994,9753,9346
2023-11-15,하이퍼 모니터 Plus6,Facebook,159500,23595,236,193
2023-07-11,퓨처 가습기 Go10,YouTube,334797,88845,5566,4422
2023-04-27,프로 스피커 Air,Facebook,368980,59748,5526,1384
2023-02-16,하이퍼 워치 Plus8,Instagram,21644,11349,699,64
2023-11-15,AI 글래스 Z,Naver Ads,209289,99567,1957,869
2023-12-05,무선 키보드 Pro4,Facebook,84730,33497,9988,3936
2023-12-06,기가 모니터 Max,Blog,169127,91714,4920,2328
2023-02-16,프로 센서 Plus3,YouTube,422720,43749,9584,4804
2023-11-06,네오 솔루션 Go,Facebook,257052,14674,2853,1246
2023-02-04,퀀텀 충전기 SE,YouTube,426000,65326,9225,4160
2023-11-06,AI 솔루션 SE,Blog,65440,79074,6291,2669
2023-05-13,프로 센서 Plus3,YouTube,33504,23951,2192,1644
2023-11-11,프로 워치 Max,Facebook,497360,43318,4424,664
2023-06-25,하이퍼 프로젝터 Pro10,Instagram,328448,3601,2976,1247
2023-10-15,네오 마우스 Pro,Naver Ads,100606,75596,292,181
2023-06-24,기가 공기청정기 Max,YouTube,449051,56050,5628,1023
2023-11-24,고성능 공기청정기 Lite2,Google Ads,375765,94370,4829,2878
2023-10-29,에코 메모리 Pro1,YouTube,415945,66681,5076,2134
2023-05-25,퓨처 마우스 Lite,Google Ads,308434,10283,2764,2418
2023-05-03,스마트 글래스 SE10,Google Ads,493598,92168,5885,5232
2023-02-21,고성능 솔루션 Pro,Naver Ads,452514,28674,8758,5148
2023-03-24,기가 메모리 Pro,Facebook,397532,44976,3883,277
2023-06-19,에코 노트북 Pro4,Naver Ads,290429,87835,2788,899
2023-12-30,울트라 카메라 X,YouTube,310901,62248,4247,1955
2023-03-25,AI 이어폰 Z3,Blog,452049,35029,2632,2168
2023-01-19,하이퍼 공기청정기 SE3,Instagram,181043,8067,2556,1736
2023-10-26,네오 마우스 Plus,Facebook,387026,43166,9745,1407
2023-12-20,하이퍼 워치 Plus8,Instagram,459582,56879,2961,1962
2023-11-08,퓨처 드론 Plus,YouTube,482874,29824,2917,2122
2023-07-27,네오 태블릿 Pro,Google Ads,449174,75392,4467,3999
2023-07-03,울트라 키보드 Max9,Google Ads,28842,23295,3478,1404
2023-11-05,무선 충전기 Max,Blog,163775,40795,8783,2902
2023-11-13,고성능 플랫폼 Ultra8,Google Ads,300530,95312,7434,5536
2023-09-10,에코 로봇청소기 Ultra5,Google Ads,474771,40119,8335,4078
2023-03-23,하이퍼 이어폰,YouTube,186380,20754,6384,4375
2023-08-05,AI 태블릿 Z,Instagram,88649,74029,2260,1957
2023-12-04,하이퍼 마우스 Plus,Naver Ads,310469,25684,6243,5580
2023-02-23,퀀텀 가습기 SE,Naver Ads,215159,92905,4330,2971
2023-10-23,기가 키보드 Air4,Google Ads,450597,99430,618,163
2023-02-17,기가 프로세서 Ultra2,Naver Ads,355517,95431,8748,4382
2023-05-03,하이퍼 마우스 Ultra6,YouTube,376299,82152,8678,7919
2023-03-25,프로 마우스 Lite8,Google Ads,236009,77746,1631,440
2023-02-15,울트라 워치 Ultra,Google Ads,170781,2601,2601,840
2023-04-07,네오 시스템 X,Facebook,269216,23052,3348,40
2023-12-24,프로 워치 Z5,Facebook,21285,59401,5233,2206
